time (s),phase_diff_agent_3
-41.505170822143555,-2.497351665166093
-41.47565793991089,-2.5028945271915006
-41.446144819259644,-2.5123833835149014
-41.41627597808838,-2.5844788949572433
-41.387134313583374,-2.594772941782651
-41.358614921569824,-2.605235466750372
-41.3301784992218,-2.591101099758788
-41.30215334892273,-2.5268564844026002
-41.272151947021484,-2.5199162080994597
-41.2431366443634,-2.538006814469526
-41.214457273483276,-2.521895451270666
-41.1851806640625,-2.520779376301931
-41.1566526889801,-2.520779376301931
-41.13063931465149,-2.520779376301931
-41.10206937789917,-2.5345589905066674
-41.0740692615509,-2.5376344195909724
-41.046555280685425,-2.52756592719561
-41.017353534698486,-2.4416279559687553
-40.98782539367676,-2.5013933604821545
-40.95882058143616,-2.488903572486578
-40.92829179763794,-2.5072388616242733
-40.89776825904846,-2.536962174857223
-40.86676859855652,-2.5697072129959224
-40.835601568222046,-2.6337637381109857
-40.80356431007385,-2.7341358539824796
-40.77256417274475,-2.6487414872241004
-40.742023944854736,-2.6654104353894468
-40.71024298667908,-2.640360353264697
-40.67888069152832,-2.6408289127417106
-40.64842748641968,-2.642460860461995
-40.61991286277771,-2.5154989008613597
-40.591288328170776,-2.5487247932910577
-40.56234097480774,-2.579670393837148
-40.5334370136261,-2.5587514370515123
-40.50539827346802,-2.575484338939816
-40.47639775276184,-2.6025457759244546
-40.44687557220459,-2.5835269834434484
-40.41870617866516,-2.575643251915608
-40.3891978263855,-2.585024970291414
-40.36119771003723,-2.5735861781116682
-40.33166766166687,-2.578179316576751
-40.302608489990234,-2.433109519340775
-40.272608280181885,-2.5556451118779364
-40.24409794807434,-2.610866691194957
-40.21555233001709,-2.641776030023351
-40.18503403663635,-2.661329087748527
-40.1564085483551,-2.6984175132174926
-40.12735605239868,-2.718256539547582
-40.09783744812012,-2.6964657557155363
-40.07004976272583,-2.6776857743310245
-40.04155468940735,-2.683167995569903
-40.01163148880005,-2.6843530359361125
-39.9827139377594,-2.639260617241945
-39.95219326019287,-2.5898268584618904
-39.922961711883545,-2.5949609062113836
-39.89445519447327,-2.630723165131627
-39.86544919013977,-2.6343026630034956
-39.83593559265137,-2.6427636509350236
-39.80842661857605,-2.6669133875941498
-39.77791452407837,-2.650858893186154
-39.74840188026428,-2.657693272353896
-39.720693588256836,-2.656574009603389
-39.692184925079346,-2.672887317930332
-39.66267371177673,-2.6274285310881
-39.63307428359985,-2.585836563944497
-39.60306119918823,-2.5306901707388363
-39.574047803878784,-2.5607193459978816
-39.54552674293518,-2.5062497024087804
-39.516008138656616,-2.5343224966750597
-39.48549795150757,-2.6203744032377188
-39.45598864555359,-2.4537106608677846
-39.42547345161438,-2.3040181851661714
-39.39696168899536,-2.1987225877098524
-39.367525815963745,-2.1733027950720327
-39.33701133728027,-2.1732257716199967
-39.307557344436646,-2.1808512947523297
-39.27803659439087,-2.1546012079837453
-39.2489800453186,-2.0569935670744997
-39.21923470497131,-2.089453028236875
-39.19170618057251,-2.165434859699758
-39.162707805633545,-2.178913128579751
-39.13338351249695,-2.1874060954428103
-39.10639142990112,-2.2978818960490344
-39.07587194442749,-2.301583497900907
-39.047335386276245,-2.4246358122836114
-39.01778697967529,-2.4482055176218864
-38.98825979232788,-2.3937728845078823
-38.95973300933838,-2.4346425074423905
-38.930718660354614,-2.3605634488545775
-38.90167021751404,-2.381309847456521
-38.87166976928711,-2.4115513007150753
-38.84213995933533,-2.4395843472127012
-38.81260108947754,-2.7801548336038593
-38.783066272735596,-2.916424405675599
-38.752567291259766,-3.0126767045130123
-38.72201657295227,-3.1392520244052946
-38.69251823425293,-3.1192824695263255
-38.66267442703247,-3.097150456227979
-38.63305115699768,-3.1402118158507335
-38.60352540016174,-2.915181538031561
-38.57400059700012,-2.8522164629537485
-38.54448652267456,-2.4808182398665792
-38.51551651954651,-1.9569869099741481
-38.486993074417114,-1.8707162733003315
-38.45846462249756,-1.674549611826393
-38.42945218086243,-1.5709335630240275
-38.40141248703003,-1.6375382074476192
-38.37219953536987,-0.6981230401608229
-38.34167957305908,-0.7185457539766844
-38.31314516067505,-0.8363395905149673
-38.28062653541565,-0.6601620902531522
-38.25008153915405,-0.4978301820445381
-38.22054576873779,-0.42328639427188364
-38.19201970100403,-0.9045318500529334
-38.159512519836426,-0.6229997633419657
-38.13029909133911,-0.5949312592084937
-38.101678133010864,-0.662257841517885
-38.07167434692383,-0.6460143729854622
-38.042155504226685,-0.8015874611184586
-38.01063537597656,-0.7651652298715419
-37.98110866546631,-0.7082168699968747
-37.95157432556152,-0.6702040247855621
-37.92277383804321,-0.746677901816696
-37.8932580947876,-0.823270031643915
-37.86525082588196,-0.8355198736001341
-37.835716247558594,-0.43612039625440957
